Dist|GV|Vcmb
33.27|4180|3852
57.28|3833|3511
29.11|2296|2046
59.98|4067|3739
41.5|4101|3747
66.99|4804|4728
57.54|4901|4551
53.95|3868|3553
9.12|670|314
82.41|5198|4849
75.51|6728|6372
26.79|1611|1439
17.95|1463|1294
73.79|6516|6161
152.76|11387|11045
164.44|10828|10482
139.32|10815|10461
109.65|8321|8032
19.95|1401|1142
136.14|10074|9897
128.82|9749|9408
116.41|6059|5706
78.34|5446|5094
225.94|10226|9892
172.98|10385|10053
55.46|5340|4989
62.81|5116|4764
65.46|5350|4998
138.68|10138|9787
44.26|4764|4624
75.16|4286|3951
139.32|10882|10531
79.07|5906|5554
73.45|4557|4206
15.92|1588|1263
81.66|5675|5324
95.06|6434|6170
138.68|9795|9445
139.96|11683|11333
32.06|2095|1874
16.67|1453|1307
164.44|10282|9949
139.32|10683|10333
81.28|6853|6662
70.47|4547|4219
34.67|4300|3973
146.55|9924|9750
8.91|672|326
128.82|9873|9541
20.04|2086|1869
28.05|1452|1195
179.47|12296|12033
114.29|9156|8828
71.45|5380|5376
96.38|6505|6175
46.77|5112|4769
57.28|4166|3854
52.97|4905|4734
58.61|4907|4736
128.82|9162|8833
66.07|5240|5198
49.89|5330|4996
19.86|1123|786
82.79|4834|4731
131.22|9673|9344
67.3|5448|5104
50.12|4270|3947
111.17|9582|9254
30.9|2020|1688
127.06|9520|9192
137.4|8646|8320
71.45|4799|4640
111.69|9132|8806
24.32|1499|1247
77.62|4891|4551
53.7|4529|4432
58.61|5910|5565
74.47|5748|5504
10.28|741|398
67.92|6502|6231
66.68|5912|5569
106.66|7333|7074
68.55|6363|6108
107.65|8156|7813
20.23|1052|736
79.43|6567|6310
11.17|717|377
65.46|5021|4679
147.91|8965|8647
110.15|10582|10496
71.78|5673|5351
41.69|4447|4248
72.11|5540|5220
55.98|4415|4099
84.72|8230|7955
150.66|9780|9445
107.65|8383|8109
54.45|6600|6347
70.79|5219|4879
45.92|4391|4075
15.78|1645|1315
61.66|4977|4644
68.55|4746|4545
41.11|3880|3545
55.72|4738|4552
39.45|4344|4031
127.06|8775|8464
36.64|3893|3558
82.41|7914|7627
152.05|9608|9442
38.9|2637|2390
96.83|6799|6547
49.2|5756|5438
13.43|799|479
90.78|6603|6355
62.52|5033|4704
77.62|4805|4475
87.1|6174|5902
95.06|7969|7686
73.45|4866|4766
46.13|4419|4198
112.72|9018|8711
101.86|8612|8377
60.26|4215|3905
80.54|7257|7008
71.12|4461|4383
5.37|358|445
116.95|8535|8301
41.69|4682|4362
61.38|5164|4891
78.34|4597|4265
51.52|3585|3307
10.91|754|422
96.38|6666|6419
15.92|1227|1023
77.27|8647|8369
35.65|3605|3321
0.15|-63|-128
46.56|4509|4371
128.82|8636|8338
161.44|8683|8387
10.42|770|441
49.89|5293|4973
126.47|8018|7714
80.91|5465|5197
19.23|1467|1267
20.32|1003|767
72.78|6398|6141
60.53|4677|4357
86.7|7808|7667
30.9|1653|1339
162.93|11487|11225
61.09|4485|4159
120.78|6756|6638
59.43|5221|4904
2.42|639|316
45.71|4814|4496
23.99|1369|1280
70.47|4254|3937
81.28|6145|5890
66.07|5589|5271
144.54|7666|7374
67.61|6545|6296
95.06|7574|7293
52|3956|3799
57.81|5110|4791
109.65|7504|7358
73.79|6595|6503
78.7|6823|6584
123.03|7841|7685
20.89|1388|1195
174.58|14674|14356
16|1183|1105
14.86|1522|1300
110.66|6823|6584
30.62|2762|2539
63.68|4942|4630
130.02|7053|6958
129.42|10394|10290
71.78|6440|6200
108.14|8358|8135
82.79|5750|5448
65.77|4706|4688
62.81|5990|5746
83.56|4897|4830
61.94|6536|6258
95.5|4987|4949
91.2|6492|6275
53.21|4182|3951
51.05|3415|3273
84.33|5974|5907
19.86|1311|1125
59.7|7159|6944
112.2|7849|7782
118.58|6744|6677
97.27|7026|6959
93.76|6770|6703
75.16|6493|6424
139.96|9140|8871
86.7|6884|6817
100.93|7992|7675
101.39|8892|8575
149.97|10382|10120
106.66|5636|5346
130.62|8733|8464
93.76|6279|6213
130.62|7109|7042
91.2|7028|6815
75.51|5875|5560
88.72|5292|5113
11.38|1302|1022
208.93|8556|8292
134.28|7753|7489
87.9|7054|6990
101.39|8803|8488
58.34|4517|4292
78.7|5042|4962
14.26|1504|1296
82.41|6297|6245
110.15|6677|6613
78.34|5451|5216
83.95|6256|6193
92.9|7399|7165
35.16|3698|3442
43.85|3621|3365
80.54|7962|7730
100|7631|7398
76.91|6474|6164
36.48|2290|1980
76.56|8238|7995
28.18|2005|1881
17.95|1468|1303
96.38|7549|7307
125.89|8568|8462
124.17|9887|9624
39.99|3655|3361
17.7|1328|1298
89.95|7800|7549
107.15|7479|7249
97.27|8024|7785
74.82|5531|5534
73.79|8662|8519
23.88|1655|1356
81.28|5035|4825
95.06|7716|7486
51.52|4122|3914
108.14|8291|8069
100.93|7792|7564
125.89|10336|10076
125.31|10065|9805
60.81|6871|6664
125.89|10299|10040
87.1|7844|7617
5.98|421|491
92.47|7028|6765
35.81|3185|2972
124.74|9467|9209
102.33|6935|6711
70.79|7478|7254
124.74|9519|9262
106.66|6846|6622
92.9|7344|7120
82.41|6125|6102
80.17|9100|8844
17.22|1532|1341
42.07|4965|4668
6.03|488|532
67.61|4604|4772
106.66|6719|6495
42.66|3717|3424
34.2|2506|2314
107.15|6851|6628
34.04|3070|2855
106.66|6316|6091
111.17|6732|6508
41.88|3893|3748
32.66|2717|2444
115.35|9147|8893
107.65|8233|8012
94.62|7643|7417
261.82|16728|16431
50.82|6136|5927
108.14|8600|8378
108.14|8555|8336
81.66|8420|8202
106.66|6667|6448
59.98|2931|2837
39.99|2227|2108
81.28|6902|6611
38.19|2606|2304
32.51|2017|1719
49.43|2838|2642
40.74|4276|4182
19.32|2758|2458
24.89|2657|2356
21.18|1481|1353
84.33|6315|6030
33.11|3211|2931
91.62|6985|6733
73.45|8507|8312
44.46|5193|4993
22.18|1311|1225
78.34|6047|5840
49.66|3253|3155
33.57|2516|2218
33.88|2626|2506
20.42|1592|1525
80.54|7033|6838
123.03|8425|8217
48.53|4277|4020
89.95|6967|6777
81.28|5951|5955
34.04|2862|2570
95.06|6324|6043
49.43|5081|4796
112.72|8937|8747
100.46|6344|6285
36.31|2583|2468
80.91|5348|5488
61.94|4648|4620
63.68|4646|4612
110.15|7198|7006
89.13|8633|8471
43.65|4152|3871
89.13|8613|8451
37.84|2801|2727
119.67|8669|8520
53.21|5778|5492
27.67|2525|2267
136.14|10797|10557
9.86|826|844
14.79|916|997
39.63|3104|2821
20.42|1243|1169
16.98|1006|986
63.68|4824|4541
76.91|5348|5066
61.38|3982|3847
64.57|3968|3833
93.76|4367|4087
63.97|3895|3769
82.41|6400|6341
66.07|4496|4219
131.22|9910|9694
169.04|10004|9769
15.35|984|1087
156.31|10466|10235
61.94|5495|5214
13.61|1592|1541
17.78|1641|1588
20.42|1685|1530
52.24|4628|4353
59.98|5193|4919
78.34|5053|4781
73.45|5251|5363
70.79|7881|7683
31.92|2280|2141
41.69|4807|4533
79.43|4824|4820
53.7|5389|5282
88.72|6797|6638
58.61|5761|5488
83.95|7019|6835
20.89|1447|1450
